address,cap_rate,financing,rate,required_down_pct
"10201 Heather Valley Dr, Bakersfield, CA 93312",0.01868126766595289,fully_amortizing,0.07,0.7660053409123624
"6804 N Half Moon Dr, Bakersfield, CA 93309",0.011160723327305604,fully_amortizing,0.07,0.8602049016778482
"216 E Warren Ave, Bakersfield, CA 93308",0.007378242280285035,fully_amortizing,0.07,0.9075828622600475
"415 Jeffrey St, Bakersfield, CA 93305",0.04899989380530973,fully_amortizing,0.065,0.35397388698603305
"911 N Chester Ave, Bakersfield, CA 93308",0.047614634812286685,fully_amortizing,0.065,0.37223746703247285
"1013 Mira Loma Dr, Bakersfield, CA 93309",0.04437728767123287,fully_amortizing,0.065,0.4149194123918165
"1308 Quartz Hill Dr, Bakersfield, CA 93307",0.042988346820809244,fully_amortizing,0.065,0.43323153491131994
"1520 Sugarleaf Ridge Dr, Bakersfield, CA 93311",0.04151428975265017,fully_amortizing,0.065,0.4526658496444752
"10105 Commodore Dr, Bakersfield, CA 93312",0.041425187935034795,fully_amortizing,0.065,0.45384058894340606
"10116 Mountaingate Ln, Bakersfield, CA 93311",0.040586754098360656,fully_amortizing,0.065,0.4648946976457251
"5528 Mar Grande Dr, Bakersfield, CA 93307",0.04048791878172589,fully_amortizing,0.065,0.4661977656827244
"605 Harrisburg St, Bakersfield, CA 93314",0.04034901443298969,fully_amortizing,0.065,0.46802911325362595
"9700 Red Oak Ct, Bakersfield, CA 93311",0.040076655172413794,fully_amortizing,0.065,0.4716199617389779
"8418 Hosey Ave, Bakersfield, CA 93311",0.040069942857142854,fully_amortizing,0.065,0.47170845848064513
"6500 Shreveport Ct, Bakersfield, CA 93309",0.03984596473551637,fully_amortizing,0.065,0.47466143866238686
"613 Harrisburg St, Bakersfield, CA 93314",0.039316025157232704,fully_amortizing,0.065,0.481648286577836
"6909 Cedarcrest Ave, Bakersfield, CA 93308",0.038378147268408554,fully_amortizing,0.065,0.4940134890292167
"4522 Whitegate Ave, Bakersfield, CA 93313",0.037414366315789475,fully_amortizing,0.065,0.5067202035598904
"9313 Windcreek Ct, Bakersfield, CA 93312",0.036399136,fully_amortizing,0.065,0.5201052385832183
"14259 Wible Rd, Bakersfield, CA 93313",0.03608637398373984,fully_amortizing,0.065,0.5242287664926006
"11712 Judy Ave, Bakersfield, CA 93312",0.03322013008130081,fully_amortizing,0.065,0.5620179995591021
"3611 Hosking Ave, Bakersfield, CA 93313",0.029873684210526316,fully_amortizing,0.065,0.606138328205076
"611 Henson St, Bakersfield, CA 93314",0.028914574132492113,fully_amortizing,0.065,0.6187834608277474
"2228 Arlington St, Bakersfield, CA 93305",0.028712342857142855,fully_amortizing,0.065,0.6214497254785002
"6737 Ryan Park Ct, Bakersfield, CA 93313",0.02663823923444976,fully_amortizing,0.065,0.6487951949744242
"1307 E Planz Rd, Bakersfield, CA 93307",0.025452733212341195,fully_amortizing,0.065,0.6644251849180851
"1210 Oregon St, Bakersfield, CA 93305",0.01983085148514851,fully_amortizing,0.065,0.7385453945347227
"10201 Heather Valley Dr, Bakersfield, CA 93312",0.01868126766595289,fully_amortizing,0.065,0.7537017777148474
"6804 N Half Moon Dr, Bakersfield, CA 93309",0.011160723327305604,fully_amortizing,0.065,0.852854401313371
"216 E Warren Ave, Bakersfield, CA 93308",0.007378242280285035,fully_amortizing,0.065,0.9027235201744185
"415 Jeffrey St, Bakersfield, CA 93305",0.04899989380530973,fully_amortizing,0.06,0.3189357172632886
"911 N Chester Ave, Bakersfield, CA 93308",0.047614634812286685,fully_amortizing,0.06,0.3381898492464397
"1013 Mira Loma Dr, Bakersfield, CA 93309",0.04437728767123287,fully_amortizing,0.06,0.3831867122468374
"1308 Quartz Hill Dr, Bakersfield, CA 93307",0.042988346820809244,fully_amortizing,0.06,0.40249201947497226
"1520 Sugarleaf Ridge Dr, Bakersfield, CA 93311",0.04151428975265017,fully_amortizing,0.06,0.42298038265036253
"10105 Commodore Dr, Bakersfield, CA 93312",0.041425187935034795,fully_amortizing,0.06,0.4242188356508091
"10116 Mountaingate Ln, Bakersfield, CA 93311",0.040586754098360656,fully_amortizing,0.06,0.4358724800824789
"5528 Mar Grande Dr, Bakersfield, CA 93307",0.04048791878172589,fully_amortizing,0.06,0.43724622191751983
"605 Harrisburg St, Bakersfield, CA 93314",0.04034901443298969,fully_amortizing,0.06,0.43917689529850534
"9700 Red Oak Ct, Bakersfield, CA 93311",0.040076655172413794,fully_amortizing,0.06,0.44296249869568505
"8418 Hosey Ave, Bakersfield, CA 93311",0.040069942857142854,fully_amortizing,0.06,0.4430557951873809
"6500 Shreveport Ct, Bakersfield, CA 93309",0.03984596473551637,fully_amortizing,0.06,0.4461689345619345
"613 Harrisburg St, Bakersfield, CA 93314",0.039316025157232704,fully_amortizing,0.06,0.4535347243779616
"6909 Cedarcrest Ave, Bakersfield, CA 93308",0.038378147268408554,fully_amortizing,0.06,0.46657057164294946
"4522 Whitegate Ave, Bakersfield, CA 93313",0.037414366315789475,fully_amortizing,0.06,0.4799664533936093
"9313 Windcreek Ct, Bakersfield, CA 93312",0.036399136,fully_amortizing,0.06,0.4940774453394897
"14259 Wible Rd, Bakersfield, CA 93313",0.03608637398373984,fully_amortizing,0.06,0.49842461880720923
"11712 Judy Ave, Bakersfield, CA 93312",0.03322013008130081,fully_amortizing,0.06,0.5382634061180417
"3611 Hosking Ave, Bakersfield, CA 93313",0.029873684210526316,fully_amortizing,0.06,0.5847766652232949
"611 Henson St, Bakersfield, CA 93314",0.028914574132492113,fully_amortizing,0.06,0.5981076250812349
"2228 Arlington St, Bakersfield, CA 93305",0.028712342857142855,fully_amortizing,0.06,0.6009184984892453
"6737 Ryan Park Ct, Bakersfield, CA 93313",0.02663823923444976,fully_amortizing,0.06,0.6297470894597428
"1307 E Planz Rd, Bakersfield, CA 93307",0.025452733212341195,fully_amortizing,0.06,0.6462247947346862
"1210 Oregon St, Bakersfield, CA 93305",0.01983085148514851,fully_amortizing,0.06,0.7243650221681222
"10201 Heather Valley Dr, Bakersfield, CA 93312",0.01868126766595289,fully_amortizing,0.06,0.740343433925034
"6804 N Half Moon Dr, Bakersfield, CA 93309",0.011160723327305604,fully_amortizing,0.06,0.844873744871043
"216 E Warren Ave, Bakersfield, CA 93308",0.007378242280285035,fully_amortizing,0.06,0.8974475882244569
"415 Jeffrey St, Bakersfield, CA 93305",0.04899989380530973,fully_amortizing,0.055,0.28083769250748236
"911 N Chester Ave, Bakersfield, CA 93308",0.047614634812286685,fully_amortizing,0.055,0.30116888052710344
"1013 Mira Loma Dr, Bakersfield, CA 93309",0.04437728767123287,fully_amortizing,0.055,0.34868282105450676
"1308 Quartz Hill Dr, Bakersfield, CA 93307",0.042988346820809244,fully_amortizing,0.055,0.36906804700887474
"1520 Sugarleaf Ridge Dr, Bakersfield, CA 93311",0.04151428975265017,fully_amortizing,0.055,0.39070250782474825
"10105 Commodore Dr, Bakersfield, CA 93312",0.041425187935034795,fully_amortizing,0.055,0.3920102385927505
"10116 Mountaingate Ln, Bakersfield, CA 93311",0.040586754098360656,fully_amortizing,0.055,0.4043157757242829
"5528 Mar Grande Dr, Bakersfield, CA 93307",0.04048791878172589,fully_amortizing,0.055,0.4057663632430074
"605 Harrisburg St, Bakersfield, CA 93314",0.04034901443298969,fully_amortizing,0.055,0.40780503647676547
"9700 Red Oak Ct, Bakersfield, CA 93311",0.040076655172413794,fully_amortizing,0.055,0.41180240257476086
"8418 Hosey Ave, Bakersfield, CA 93311",0.040069942857142854,fully_amortizing,0.055,0.4119009179747747
"6500 Shreveport Ct, Bakersfield, CA 93309",0.03984596473551637,fully_amortizing,0.055,0.41518820311495774
"613 Harrisburg St, Bakersfield, CA 93314",0.039316025157232704,fully_amortizing,0.055,0.4229660275213607
"6909 Cedarcrest Ave, Bakersfield, CA 93308",0.038378147268408554,fully_amortizing,0.055,0.4367310864693027
"4522 Whitegate Ave, Bakersfield, CA 93313",0.037414366315789475,fully_amortizing,0.055,0.450876319856069
"9313 Windcreek Ct, Bakersfield, CA 93312",0.036399136,fully_amortizing,0.055,0.46577666595560285
"14259 Wible Rd, Bakersfield, CA 93313",0.03608637398373984,fully_amortizing,0.055,0.47036701576744877
"11712 Judy Ave, Bakersfield, CA 93312",0.03322013008130081,fully_amortizing,0.055,0.5124343432376778
"3611 Hosking Ave, Bakersfield, CA 93313",0.029873684210526316,fully_amortizing,0.055,0.5615495054845029
"611 Henson St, Bakersfield, CA 93314",0.028914574132492113,fully_amortizing,0.055,0.5756261853156674
"2228 Arlington St, Bakersfield, CA 93305",0.028712342857142855,fully_amortizing,0.055,0.5785942960467884
"6737 Ryan Park Ct, Bakersfield, CA 93313",0.02663823923444976,fully_amortizing,0.055,0.6090355282911105
"1307 E Planz Rd, Bakersfield, CA 93307",0.025452733212341195,fully_amortizing,0.055,0.6264349791918282
"1210 Oregon St, Bakersfield, CA 93305",0.01983085148514851,fully_amortizing,0.055,0.7089462893477658
"10201 Heather Valley Dr, Bakersfield, CA 93312",0.01868126766595289,fully_amortizing,0.055,0.7258185167724545
"6804 N Half Moon Dr, Bakersfield, CA 93309",0.011160723327305604,fully_amortizing,0.055,0.8361961441540734
"216 E Warren Ave, Bakersfield, CA 93308",0.007378242280285035,fully_amortizing,0.055,0.8917109134029663
"415 Jeffrey St, Bakersfield, CA 93305",0.04899989380530973,fully_amortizing,0.05,0.23935171223841156
"911 N Chester Ave, Bakersfield, CA 93308",0.047614634812286685,fully_amortizing,0.05,0.2608557360090742
"1013 Mira Loma Dr, Bakersfield, CA 93309",0.04437728767123287,fully_amortizing,0.05,0.31111059104032357
"1308 Quartz Hill Dr, Bakersfield, CA 93307",0.042988346820809244,fully_amortizing,0.05,0.33267177000684556
"1520 Sugarleaf Ridge Dr, Bakersfield, CA 93311",0.04151428975265017,fully_amortizing,0.05,0.35555424786308476
"10105 Commodore Dr, Bakersfield, CA 93312",0.041425187935034795,fully_amortizing,0.05,0.3569374170853461
"10116 Mountaingate Ln, Bakersfield, CA 93311",0.040586754098360656,fully_amortizing,0.05,0.36995281799216306
"5528 Mar Grande Dr, Bakersfield, CA 93307",0.04048791878172589,fully_amortizing,0.05,0.3714870848758284
"605 Harrisburg St, Bakersfield, CA 93314",0.04034901443298969,fully_amortizing,0.05,0.37364336210060445
"9700 Red Oak Ct, Bakersfield, CA 93311",0.040076655172413794,fully_amortizing,0.05,0.37787132239040033
"8418 Hosey Ave, Bakersfield, CA 93311",0.040069942857142854,fully_amortizing,0.05,0.3779755208022998
"6500 Shreveport Ct, Bakersfield, CA 93309",0.03984596473551637,fully_amortizing,0.05,0.3814524380255935
"613 Harrisburg St, Bakersfield, CA 93314",0.039316025157232704,fully_amortizing,0.05,0.3896789381572099
"6909 Cedarcrest Ave, Bakersfield, CA 93308",0.038378147268408554,fully_amortizing,0.05,0.4042380556340367
"4522 Whitegate Ave, Bakersfield, CA 93313",0.037414366315789475,fully_amortizing,0.05,0.419199278495044
"9313 Windcreek Ct, Bakersfield, CA 93312",0.036399136,fully_amortizing,0.05,0.4349591739033325
"14259 Wible Rd, Bakersfield, CA 93313",0.03608637398373984,fully_amortizing,0.05,0.439814325081627
"11712 Judy Ave, Bakersfield, CA 93312",0.03322013008130081,fully_amortizing,0.05,0.48430837083119327
"3611 Hosking Ave, Bakersfield, CA 93313",0.029873684210526316,fully_amortizing,0.05,0.5362568165116127
"611 Henson St, Bakersfield, CA 93314",0.028914574132492113,fully_amortizing,0.05,0.5511455312000626
"2228 Arlington St, Bakersfield, CA 93305",0.028712342857142855,fully_amortizing,0.05,0.5542848619491751
"6737 Ryan Park Ct, Bakersfield, CA 93313",0.02663823923444976,fully_amortizing,0.05,0.5864821433455412
"1307 E Planz Rd, Bakersfield, CA 93307",0.025452733212341195,fully_amortizing,0.05,0.6048853082468948
"1210 Oregon St, Bakersfield, CA 93305",0.01983085148514851,fully_amortizing,0.05,0.6921564098288311
"10201 Heather Valley Dr, Bakersfield, CA 93312",0.01868126766595289,fully_amortizing,0.05,0.7100019375596447
"6804 N Half Moon Dr, Bakersfield, CA 93309",0.011160723327305604,fully_amortizing,0.05,0.8267468675988049
"216 E Warren Ave, Bakersfield, CA 93308",0.007378242280285035,fully_amortizing,0.05,0.8854640914225652
